seq,word,hzctable,strokesnum,pinyins,strokes,strokesok,explanation
3635,聿,表3丙表1000字,6画,yù,𠃍 一 一 一 一 丨,true(a6~e6),聿 (指事。从聿一一者，牍也。秦以后皆作筽。本义毛笔。笔的本字，秦以后始加竹作笔)同本义 聿，所以书也。楚谓之聿，吴谓之不律，燕谓之弗。--《说文》又如舌聿(即口笔。用口所说的，用笔所写的)聿 古汉语助词，用在句首或句中 无念尔祖，聿修厥德。--《诗·大雅·文王》聿，循也。--《后汉书·傅毅传》注又如聿女(养女);聿遵(遵循。聿，发语词);聿追(聿本助词◇人往往训聿为述，因以聿追谓追述先人德业)聿yù⒈笔。⒉文言句首或句中的语气助词。
3636,艮,表3丙表1000字,6画,gěn、gèn,𠃍 一 一 𠄌 丿 ㇏,true(a6~e6),艮 指食物不易咬动或嚼烂 不松脆 艮 八卦之一，代表山 珍禽怪兽、佳果文竹于此处)方位名。东北方 艮gěn〈方〉⒈性直，说话生硬这人太～。⒉食物韧而不脆～饼。～萝卜。艮gèn八挂之一。代表山。
3642,妁,表3丙表1000字,6画,shuò,𡿨 丿 一 丿 𠃌 丶,true(a6~e6),妁 媒人 妁，媒也。--《集韵》妁shuò旧时称婚姻介绍人媒～。
3645,纣,表3丙表1000字,6画,zhòu,𠃋 𠃋 ㇀ 一 亅 丶,true(a6~e6),纣 驾车马后部的革带 纣，马緧也。从糸，肘省声。--《说文》车纣，自关而东，周、洛、韩、汝、颍而东谓之韌，或谓之曲绹，或谓之曲纶;自关而西谓之纣。--扬雄《方言》商代最末的君主名，史称纣王桀纣贵为天子。--《吕氏春秋·功名》。注贱仁多累曰纣。残义损善曰纣。--蔡邕《独断》以同言楚威王于侧纣之间。--《战国策·秦策》纣zhòu⒈驾车时系在牲口后的皮带子。⒉〈古〉人名。商朝末代君主。
3646,纥,表3丙表1000字,6画,hé、gē,𠃋 𠃋 ㇀ 丿 一 ⺄,true(a6~e6),纥如纥地(笑的声音);纥刺星(骂人的话。魔星，灾星)纥 下等丝 给，大丝。--《集韵》回纥 姓纥gē⒈⒉见hé；jié。纥hé⒈⒉见gē、jié。
3650,抟,表3丙表1000字,7画,tuán,一 亅 ㇀ 一 一 ㄣ 丶,true(a7~e7),抟 (形声。从手，专声。本义把东西捏聚成团)同本义 抟，圜也。--《说文》。《韵会》引《说文》抟，以手圜之也。毋抟饭。--《礼记·曲礼上》俊鹘抟水禽。--宋·陆游《过小孤山大孤山》又如抟铸(团捏铸造);抟弄(摆弄);抟黍(捏黍成圆形);抟饭(捏饭成团);抟食(手捏饭团而食);抟人(抟土作人);抟沙(捏沙成团。比喻聚而易散);抟泥(捏弄泥团，以为器皿。喻粗陋)集聚 亲友如抟沙，放手还复散。--宋·苏轼《二公再和亦再答之》又如抟力(集聚力量);抟国(聚集国力);抟结(集聚凝结);抟抟(凝聚如团貌);抟聚(抟（摶）tuán⒈将东西捏揉成团～饭团。～煤球。～纸团子。〈引〉结聚，集中国力～者强，国好言谈者削。⒉〈古〉通'团'。圆。抟zhuàn 1.卷之使紧。 2.量词。束;捆。抟zhuān 1.专一。
3651,抔,表3丙表1000字,7画,póu,一 亅 ㇀ 一 丿 丨 丶,true(a7~e7),抔póu⒈用手捧东西～着。～饮（双手捧起而饮）。⒉量词。手捧的（土）量一～黄土（〈喻〉微贱、渺小或没落的东西）。
3653,坂,表3丙表1000字,7画,bǎn,一 丨 ㇀ 丿 丿 ㇇ ㇏,true(a7~e7),坂 (形声。从土，反声。《广韵》作阪。本义山坡，斜坡) 同本义 采土筑山，十里九坂。--《后汉书·统传》又如坂田(地势较高的水田);坂坻(坡岸)坂 bǎn斜坡;山坡。坂bǎn'阪'的异体字。
3659,芫,表3丙表1000字,7画,yán、yuán,一 丨 丨 一 一 丿 乚,true(a7~e7),芫荽 yan芫花 yuan(daphne genkwa)，先花后叶，叶对生，偶为互生，纸质芫yuán⒈芫yán⒈
3662,芾,表3丙表1000字,7画,fèi、fú,一 丨 丨 一 丨 𠃌 丨,true(a7~e7),
